4572,2019-08-30,1740,1836,09:42,1737,09:00,1806,310900株,557百万円,+75,+4.33,1790.795円,1145回
4572,2019-09-02,1806,1823,09:18,1765,09:43,1816,172600株,311百万円,+10,+0.55,1799.575円,792回
4572,2019-09-03,1776,1841,14:03,1776,09:00,1824,124900株,227百万円,+8,+0.44,1815.93円,475回
4572,2019-09-03,1824,1824,09:00,1775,09:21,1809,127500株,229百万円,-15,-0.82,1794.751円,585回
4572,2019-09-05,1811,1843,09:32,1802,09:02,1830,158600株,289百万円,+21,+1.16,1824.118円,663回
4572,2019-09-05,1845,1865,09:53,1832,09:00,1848,130200株,241百万円,+18,+0.98,1850.01円,558回
4572,2019-09-07,1839,1872,12:39,1831,09:01,1865,127700株,237百万円,+17,+0.92,1855.6円,559回
4572,2019-09-10,1882,1938,13:40,1849,09:18,1909,246300株,468百万円,+44,+2.36,1900.658円,1046回
4572,2019-09-11,1891,1939,14:59,1870,09:05,1933,174100株,332百万円,+24,+1.26,1909.194円,823回
4572,2019-09-12,1939,1972,14:37,1925,10:56,1954,149500株,292百万円,+21,+1.09,1950.061円,724回
4572,2019-09-13,1954,1971,09:56,1940,12:33,1954,121900株,238百万円,0,0,1953.285円,587回
4572,2019-09-17,1942,1989,14:00,1912,09:03,1960,121900株,239百万円,+6,+0.31,1959.19円,580回
4572,2019-09-17,1960,1981,09:43,1914,13:38,1929,183200株,356百万円,-31,-1.58,1942.308円,924回,210.27億円
4572,2019-09-19,1949,1976,11:13,1927,10:36,1951,202500株,395百万円,+22,+1.14,1952.561円,975回,212.67億円
4572,2019-09-20,1950,1950,09:00,1901,10:53,1922,177200株,340百万円,-29,-1.49,1920.253円,836回,215.23億円
4572,2019-09-24,1906,2023,14:58,1906,09:00,2017,334900株,661百万円,+95,+4.94,1972.939円,1347回,225.87億円
4572,2019-09-25,1990,2006,09:00,1937,10:36,1978,345800株,680百万円,-39,-1.93,1965.174円,1787回,221.50億円
4572,2019-09-26,1986,2019,12:57,1972,14:51,1976,220700株,441百万円,-2,-0.10,1997.317円,1164回,221.28億円
4572,2019-09-27,1970,1980,09:05,1873,11:05,1926,383800株,735百万円,-50,-2.53,1914.637円,1761回,215.68億円
4572,2019-09-30,1936,2007,09:22,1881,12:39,1885,403100株,780百万円,-41,-2.13,1934.113円,1686回,211.09億円
4572,2019-10-01,1905,1920,12:36,1883,09:06,1894,143400株,273百万円,+9,+0.48,1903.365円,738回,212.10億円
4572,2019-10-02,1867,1903,14:09,1867,09:00,1889,101400株,191百万円,-5,-0.26,1882.342円,443回,211.54億円
4572,2019-10-03,1866,1909,14:57,1850,09:01,1903,116000株,218百万円,+14,+0.74,1882.848円,642回,213.11億円
4572,2019-10-04,1904,1955,14:34,1899,09:02,1953,213400株,413百万円,+50,+2.63,1934.261円,908回,218.70億円
4572,2019-10-07,1978,1995,14:34,1954,09:21,1992,180700株,357百万円,+39,+2.00,1976.034円,819回,223.07億円
4572,2019-10-08,1980,1989,09:00,1895,14:02,1905,341900株,657百万円,-87,-4.37,1920.404円,1282回,213.33億円
4572,2019-10-09,1904,1904,09:00,1875,09:13,1879,136900株,258百万円,-26,-1.36,1883.592円,559回,210.42億円
4572,2019-10-10,1874,1887,13:57,1858,09:30,1859,113200株,212百万円,-20,-1.06,1869.541円,484回,208.18億円
4572,2019-10-11,1856,1881,09:09,1847,14:27,1850,120300株,224百万円,-9,-0.48,1861.534円,587回,207.17億円
4572,2019-10-15,1860,1873,09:20,1842,14:38,1846,103400株,192百万円,-4,-0.22,1853.102円,491回,206.72億円
4572,2019-10-16,1850,1878,10:09,1848,12:47,1852,149900株,279百万円,+6,+0.33,1862.836円,762回,207.39億円
4572,2019-10-17,1869,1907,13:04,1862,09:01,1881,193500株,365百万円,+29,+1.57,1885.419円,773回,210.64億円
4572,2019-10-18,1908,1909,09:00,1874,12:46,1886,137900株,261百万円,+5,+0.27,1890.351円,603回,212.79億円
4572,2019-10-21,1861,1911,10:34,1831,09:00,1894,120600株,228百万円,+8,+0.42,1887.663円,555回,213.69億円
4572,2019-10-23,1890,1965,13:49,1886,09:11,1957,250600株,485百万円,+63,+3.33,1934.182円,1039回,220.80億円
4572,2019-10-24,1979,1984,09:02,1932,10:31,1958,143300株,281百万円,+1,+0.05,1961.098円,736回,220.91億円
4572,2019-10-25,1958,1969,09:16,1918,14:11,1927,152800株,297百万円,-31,-1.58,1946.07円,773回,217.41億円
4572,2019-10-28,1925,1946,13:03,1912,09:00,1937,72400株,140百万円,+10,+0.52,1930.909円,333回,218.54億円
4572,2019-10-29,1949,1979,14:30,1941,09:02,1960,161700株,317百万円,+23,+1.19,1963.266円,709回,221.14億円
4572,2019-10-30,1950,1982,12:56,1932,09:39,1976,123900株,243百万円,+16,+0.82,1961.624円,601回,222.94億円
4572,2019-10-31,1967,1969,09:00,1945,12:38,1957,69500株,136百万円,-19,-0.96,1958.249円,321回,220.80億円
4572,2019-11-01,1955,1970,09:49,1937,09:05,1954,80000株,157百万円,-3,-0.15,1960.429円,413回,220.46億円
4572,2019-11-05,1957,1995,14:30,1948,09:09,1992,159300株,315百万円,+38,+1.94,1975.341円,721回,224.75億円
4572,2019-11-07,2010,2033,09:09,2001,09:31,2015,198700株,401百万円,+7,+0.35,2017.672円,1160回,227.34億円
4572,2019-11-08,2011,2014,09:01,1907,14:37,1912,347100株,675百万円,-103,-5.11,1945.952円,1594回,215.72億円
4572,2019-11-11,1932,1977,13:00,1925,09:00,1957,375600株,733百万円,+45,+2.35,1951.701円,1739回,220.80億円
4572,2019-11-12,1949,2046,14:47,1948,09:02,2037,303300株,608百万円,+80,+4.09,2003.12円,1214回,229.82億円
4572,2019-11-13,2020,2037,09:09,1968,13:48,1972,184400株,368百万円,-65,-3.19,1994.874円,876回,222.49億円
4572,2019-11-14,1965,2018,10:28,1965,09:00,2013,157900株,316百万円,+41,+2.08,2003.278円,790回,227.11億円
4572,2019-11-15,1999,2026,10:06,1986,12:30,1999,95900株,193百万円,-14,-0.70,2007.935円,500回,225.54億円
4572,2019-11-18,1991,2043,14:49,1958,09:21,2039,186100株,375百万円,+40,+2.00,2012.669円,749回,230.05億円
4572,2019-11-19,2049,2149,15:00,2047,09:00,2149,482300株,1013百万円,+110,+5.39,2100.768円,1764回,242.46億円
4572,2019-11-20,2130,2193,13:01,2108,09:00,2138,364900株,785百万円,-11,-0.51,2152.089円,1497回,244.29億円
4572,2019-11-21,2141,2169,09:02,2067,10:02,2070,215600株,452百万円,-68,-3.18,2095.559円,958回,236.52億円
4572,2019-11-22,2075,2134,12:33,2052,09:23,2122,223200株,470百万円,+52,+2.51,2106.085円,959回,242.46億円
4572,2019-11-25,2141,2310,13:13,2138,09:00,2262,689900株,1546百万円,+140,+6.60,2240.855円,2762回,258.45億円
4572,2019-11-26,2302,2321,09:00,2235,13:43,2275,300400株,685百万円,+13,+0.57,2279.787円,1204回,259.94億円
4572,2019-11-27,2280,2341,14:54,2249,09:04,2340,305100株,705百万円,+65,+2.86,2310.986円,1277回,267.37億円
4572,2019-11-28,2345,2429,10:26,2322,09:33,2391,461100株,1101百万円,+51,+2.18,2387.963円,1834回,273.19億円
4572,2019-11-29,2385,2401,09:03,2357,09:36,2390,154300株,367百万円,-1,-0.04,2378.596円,731回,273.08億円
4572,2019-12-02,2387,2414,10:38,2371,09:05,2407,118800株,285百万円,+17,+0.71,2398.066円,564回,275.02億円
4572,2019-12-03,2380,2465,13:08,2375,09:02,2429,213400株,518百万円,+22,+0.91,2426.802円,911回,277.54億円
4572,2019-12-05,2360,2360,09:03,2204,13:40,2221,398000株,898百万円,-86,-3.73,2256.153円,1584回,253.77億円
4572,2019-12-06,2223,2323,09:28,2222,09:00,2297,256200株,585百万円,+76,+3.42,2285.274円,1310回,262.45億円
4572,2019-12-09,2310,2310,09:00,2190,14:59,2199,267300株,594百万円,-98,-4.27,2220.85円,1070回,251.26億円
4572,2019-12-10,2210,2240,14:29,2175,09:19,2238,154600株,342百万円,+39,+1.77,2214.799円,666回,255.71億円
4572,2019-12-13,2155,2178,09:01,2074,14:07,2079,248600株,523百万円,-84,-3.88,2103.021円,980回,237.54億円
4572,2019-12-16,2037,2050,09:00,1994,13:20,1996,298000株,600百万円,-83,-3.99,2012.493円,1284回,228.06億円
4572,2019-12-17,2018,2177,14:24,2018,09:00,2153,356000株,750百万円,+157,+7.87,2106.726円,1438回,246.00億円
4572,2019-12-18,2160,2210,10:14,2139,09:09,2186,283600株,619百万円,+33,+1.53,2182.168円,1285回,249.77億円
4572,2019-12-19,2186,2269,13:30,2161,09:19,2235,288100株,643百万円,+49,+2.24,2231.84円,1399回,255.37億円
4572,2019-12-20,2250,2290,09:56,2211,09:44,2248,284400株,641百万円,+13,+0.58,2252.659円,1486回,260.88億円
4572,2019-12-23,2231,2231,09:00,2037,14:39,2042,542100株,1133百万円,-206,-9.16,2090.041円,2014回,236.97億円
4572,2019-12-24,2051,2135,13:03,2051,09:00,2103,196600株,412百万円,+61,+2.99,2093.917円,913回,244.05億円
4572,2019-12-25,2087,2110,10:45,2050,14:06,2070,161700株,336百万円,-33,-1.57,2080.385円,606回,240.22億円
4572,2019-12-26,2087,2118,09:02,2050,13:23,2080,242300株,505百万円,+10,+0.48,2082.401円,1083回,241.38億円
4572,2019-12-27,2070,2171,12:35,2070,09:00,2147,310200株,664百万円,+67,+3.22,2141.946円,1513回,249.16億円
4572,2019-12-30,2111,2142,14:11,2055,09:33,2123,259600株,545百万円,-24,-1.12,2100.74円,1008回,246.37億円
4572,2020-01-06,2059,2080,09:05,2019,10:23,2025,290200株,591百万円,-98,-4.62,2037.114円,1130回,235.00億円
4572,2020-01-07,2058,2069,10:24,2020,13:47,2026,176400株,360百万円,+1,+0.05,2038.432円,719回,235.12億円
4572,2020-01-08,2026,2036,09:02,1904,09:39,1914,428400株,832百万円,-112,-5.53,1942.616円,1659回,222.12億円
4572,2020-01-09,1971,2005,13:56,1946,09:03,1995,250400株,495百万円,+81,+4.23,1975.252円,1128回,231.52億円
4572,2020-01-10,2135,2170,10:20,2031,12:58,2041,2148000株,4522百万円,+46,+2.31,2105.429円,7660回,236.86億円
4572,2020-01-14,2067,2180,13:49,2065,09:00,2145,654400株,1391百万円,+104,+5.10,2125.22円,2269回,248.93億円
4572,2020-01-15,2123,2248,13:14,2122,09:00,2248,641000株,1417百万円,+103,+4.80,2210.546円,2363回,260.88億円
4572,2020-01-16,2266,2324,09:18,2187,13:26,2218,501000株,1129百万円,-30,-1.33,2253.549円,2026回,257.40億円
4572,2020-01-17,2202,2222,12:36,2140,09:10,2173,341000株,745百万円,-45,-2.03,2184.357円,1384回,252.17億円
4572,2020-01-20,2187,2210,09:04,2124,13:37,2130,230500株,497百万円,-43,-1.98,2154.397円,900回,248.24億円
4572,2020-01-21,2126,2204,13:51,2126,09:00,2178,231300株,503百万円,+48,+2.25,2174.158円,985回,253.84億円
4572,2020-01-22,2153,2191,09:12,2138,12:42,2149,112700株,243百万円,-29,-1.33,2154.312円,498回,250.46億円
4572,2020-01-23,2140,2149,09:01,2100,14:56,2102,157200株,332百万円,-47,-2.19,2113.856円,656回,244.98億円
4572,2020-01-24,2102,2105,09:03,2038,13:11,2042,270400株,557百万円,-60,-2.85,2059.272円,1009回,237.98億円
4572,2020-01-27,1960,2061,12:33,1948,09:03,1995,295500株,592百万円,-47,-2.30,2003.151円,903回,232.51億円
4572,2020-01-28,1970,2028,10:27,1970,09:00,2007,158200株,317百万円,+12,+0.60,2003.599円,675回,233.91億円
4572,2020-01-29,2030,2043,09:02,1945,14:43,1949,236200株,466百万円,-58,-2.89,1973.947円,758回,227億円
4572,2020-01-30,1960,1982,09:04,1853,12:33,1880,294300株,561百万円,-69,-3.54,1905.747円,1081回,219億円
4572,2020-01-31,1872,1910,09:15,1856,09:42,1870,157800株,296百万円,-10,-0.53,1876.22円,638回,218億円
