6740,2020-05-22,46,47,09:00,45,13:03,45,3107700株,143百万円,-1,-2.17,45.937円,430回,381億円,05/15,0.0,18482.8,－
6740,2020-05-25,46,47,14:24,45,09:00,46,2433000株,112百万円,+1,+2.22,45.854円,278回,389億円,05/22,0.0,19074.4,－
6740,2020-05-26,46,47,09:00,45,09:42,45,2272600株,104百万円,-1,-2.17,45.705円,417回,381億円,05/22,0.0,19074.4,－
6740,2020-05-27,46,49,14:45,46,09:00,49,6085900株,288百万円,+4,+8.89,47.373円,398回,415億円,05/22,0.0,19074.4,－
6740,2020-05-28,49,51,09:27,49,09:00,49,6236800株,310百万円,0,0,49.642円,497回,415億円,05/22,0.0,19074.4,－
6740,2020-05-29,49,50,09:00,46,09:17,46,6012300株,283百万円,-3,-6.12,47.027円,584回,389億円,05/22,0.0,19074.4,－
6740,2020-06-01,47,47,09:00,46,09:00,46,939100株,44百万円,0,0,46.596円,594回,389億円,05/29,0.0,18566.2,－
6740,2020-06-02,47,47,09:00,46,09:00,47,1331800株,62百万円,+1,+2.17,46.669円,282回,398億円,05/29,0.0,18566.2,－
6740,2020-06-03,47,48,09:00,47,09:00,47,1382400株,66百万円,0,0,47.505円,153回,398億円,05/29,0.0,18566.2,－
6740,2020-06-04,48,48,09:00,47,09:00,48,1144200株,55百万円,+1,+2.13,47.706円,424回,406億円,05/29,0.0,18566.2,－
6740,2020-06-05,48,48,09:00,47,09:00,48,920900株,44百万円,0,0,47.617円,155回,406億円,05/29,0.0,18566.2,－
6740,2020-06-08,48,52,14:56,48,09:00,52,12307700株,611百万円,+4,+8.33,49.668円,666回,440億円,06/05,0.0,17834.6,－
6740,2020-06-09,52,53,09:00,48,10:15,51,6659800株,335百万円,-1,-1.92,50.355円,489回,432億円,06/05,0.0,17834.6,－
6740,2020-06-10,52,53,10:17,48,14:45,50,10757100株,544百万円,-1,-1.96,50.568円,665回,423億円,06/05,0.0,17834.6,－
6740,2020-06-11,50,50,09:00,48,12:50,48,2366000株,116百万円,-2,-4.00,48.991円,237回,406億円,06/05,0.0,17834.6,－
6740,2020-06-12,46,47,09:13,45,09:01,47,9691000株,447百万円,-1,-2.08,46.108円,1164回,398億円,06/05,0.0,17834.6,－
6740,2020-06-15,47,48,09:10,44,14:57,45,6764600株,311百万円,-2,-4.26,46.026円,551回,381億円,06/12,0.0,17352.1,－
6740,2020-06-16,46,48,09:15,46,09:00,47,3769700株,177百万円,+2,+4.44,46.875円,353回,398億円,06/12,0.0,17352.1,－
6740,2020-06-17,48,48,09:00,46,09:48,48,5838400株,275百万円,+1,+2.13,47.149円,876回,406億円,06/12,0.0,17352.1,－
6740,2020-06-18,48,50,14:17,47,09:00,50,4657700株,226百万円,+2,+4.17,48.597円,2948回,423億円,06/12,0.0,17352.1,－
6740,2020-06-19,50,50,09:00,48,13:17,48,5759200株,282百万円,-2,-4.00,48.879円,2812回,406億円,06/12,0.0,17352.1,－
6740,2020-06-22,49,52,13:43,49,09:00,52,4982200株,253百万円,+4,+8.33,50.72円,2527回,440億円,06/19,2.0,16837.2,8418
6740,2020-06-23,53,54,09:09,49,09:40,50,10459100株,531百万円,-2,-3.85,50.788円,768回,423億円,06/19,2.0,16837.2,8418
6740,2020-06-24,50,51,09:01,50,09:00,50,1819600株,91百万円,0,0,50.062円,347回,423億円,06/19,2.0,16837.2,8418
6740,2020-06-25,50,50,09:00,48,09:05,48,4301800株,211百万円,-2,-4.00,49.073円,469回,406億円,06/19,2.0,16837.2,8418
6740,2020-06-26,49,50,09:18,48,09:06,49,4602000株,225百万円,+1,+2.08,48.982円,524回,415億円,06/19,2.0,16837.2,8418
6740,2020-06-29,48,50,10:53,48,09:00,48,2086900株,102百万円,-1,-2.04,48.757円,252回,406億円,06/19,2.0,16837.2,8418
6740,2020-06-30,49,50,10:16,48,09:00,49,3255400株,160百万円,+1,+2.08,49.007円,305回,415億円,06/26,0.0,16404.3,－
6740,2020-07-01,50,51,09:00,47,14:19,47,6162600株,301百万円,-2,-4.08,48.872円,511回,398億円,06/26,0.0,16404.3,－
6740,2020-07-02,48,48,09:00,47,09:05,47,3643400株,174百万円,0,0,47.643円,467回,398億円,06/26,0.0,16404.3,－
6740,2020-07-03,48,48,09:00,47,09:03,47,626400株,30百万円,0,0,47.29円,160回,398億円,06/26,0.0,16404.3,－
6740,2020-07-06,47,49,14:39,46,09:01,48,3214400株,152百万円,+1,+2.13,47.272円,643回,406億円,07/03,0.0,16455.8,－
6740,2020-07-07,48,49,09:02,47,10:12,49,2790500株,134百万円,+1,+2.08,48.191円,577回,415億円,07/03,0.0,16455.8,－
6740,2020-07-08,47,49,12:56,46,09:01,49,6168900株,293百万円,0,0,47.439円,439回,415億円,07/03,0.0,16455.8,－
6740,2020-07-09,48,49,09:00,47,09:06,47,1919000株,91百万円,-2,-4.08,47.508円,267回,398億円,07/03,0.0,16455.8,－
