6257,2019-11-28,966,973,12:38,965,09:31,968,12400株,12百万円,+2,+0.21,969.306円,52回,236.15億円
6257,2019-11-29,970,975,11:10,968,09:17,974,8300株,8百万円,+6,+0.62,972.012円,48回,237.61億円
6257,2019-12-02,974,980,09:46,974,09:00,978,12200株,12百万円,+4,+0.41,977.311円,44回,238.59億円
6257,2019-12-03,978,979,13:55,975,12:44,978,4400株,4百万円,0,0,977.386円,22回,238.59億円
6257,2019-12-05,983,985,09:59,981,13:43,984,5000株,5百万円,+1,+0.10,983.62円,26回,240.05億円
6257,2019-12-06,989,993,10:40,987,13:44,989,9400株,9百万円,+5,+0.51,990.138円,35回,241.27億円
6257,2019-12-09,993,994,09:01,989,09:24,992,9900株,10百万円,+3,+0.30,991.495円,38回,242.00億円
6257,2019-12-10,992,993,09:03,983,13:36,985,19400株,19百万円,-7,-0.71,989.742円,53回,240.30億円
6257,2019-12-13,992,1000,09:51,992,09:00,994,8800株,9百万円,-2,-0.20,995.352円,37回,242.49億円
6257,2019-12-16,991,996,12:39,990,09:07,992,17300株,17百万円,-2,-0.20,991.775円,35回,242.00億円
6257,2019-12-17,997,997,09:00,992,10:41,993,4400株,4百万円,+1,+0.10,993.954円,21回,242.25億円
