4080,2019-08-30,751,784,12:45,746,09:03,776,45900株,35百万円,+32,+4.30,770.229円,150回
4080,2019-09-02,767,786,12:30,763,09:06,779,26500株,20百万円,+3,+0.39,773.306円,99回
4080,2019-09-03,784,818,13:32,775,09:05,812,75100株,60百万円,+33,+4.24,799.889円,260回
4080,2019-09-03,805,813,10:11,798,09:16,803,28600株,23百万円,-9,-1.11,805.58円,148回
4080,2019-09-05,800,814,10:02,795,09:05,809,47500株,38百万円,+6,+0.75,805.509円,159回
4080,2019-09-05,806,840,09:29,806,09:00,837,58000株,48百万円,+28,+3.46,828.591円,238回
4080,2019-09-07,835,845,09:09,831,14:19,836,40800株,34百万円,-1,-0.12,837.654円,168回
4080,2019-09-10,835,852,09:04,832,12:38,836,29700株,25百万円,0,0,842.667円,153回
4080,2019-09-11,841,845,09:02,829,09:54,839,23900株,20百万円,+3,+0.36,838.075円,102回
4080,2019-09-12,849,849,09:00,835,09:39,842,27000株,23百万円,+3,+0.36,841.122円,118回
4080,2019-09-13,836,844,15:00,831,09:26,844,34500株,29百万円,+2,+0.24,837.49円,140回
4080,2019-09-17,831,839,09:00,804,14:56,805,82600株,67百万円,-39,-4.62,813.652円,242回
4080,2019-09-17,807,812,09:05,791,13:53,795,44400株,36百万円,-10,-1.24,800.709円,156回,258.64億円
4080,2019-09-19,795,812,09:29,795,09:00,800,31300株,25百万円,+5,+0.63,802.316円,142回,260.26億円
4080,2019-09-20,801,806,09:38,795,09:02,803,31900株,26百万円,+3,+0.38,800.815円,133回,261.24億円
4080,2019-09-24,804,822,10:12,804,09:00,814,46800株,38百万円,+11,+1.37,815.139円,125回,264.82億円
4080,2019-09-25,820,820,09:00,800,09:57,810,33100株,27百万円,-4,-0.49,807.819円,145回,263.52億円
4080,2019-09-26,817,828,09:27,812,09:13,815,39300株,32百万円,+5,+0.62,820.486円,136回,265.14億円
4080,2019-09-27,808,820,15:00,798,11:05,820,41400株,33百万円,+5,+0.61,806.44円,164回,266.77億円
4080,2019-09-30,810,816,09:14,801,14:58,802,59500株,48百万円,-18,-2.20,807.745円,222回,260.91億円
4080,2019-10-01,800,815,09:17,800,09:00,812,27300株,22百万円,+10,+1.25,809.359円,112回,264.17億円
4080,2019-10-02,809,810,09:44,797,14:47,800,29800株,24百万円,-12,-1.48,802.748円,96回,260.26億円
4080,2019-10-03,785,794,09:07,780,13:46,784,45300株,36百万円,-16,-2.00,784.355円,153回,255.06億円
4080,2019-10-04,780,789,14:04,780,09:00,786,20100株,16百万円,+2,+0.26,784.304円,66回,255.71億円
4080,2019-10-07,795,800,14:28,788,09:41,798,30200株,24百万円,+12,+1.53,795.146円,138回,259.61億円
4080,2019-10-08,797,831,14:59,797,09:00,831,91700株,75百万円,+33,+4.14,821.444円,294回,270.35億円
4080,2019-10-09,829,839,09:51,820,14:06,826,47000株,39百万円,-5,-0.60,830.725円,185回,268.72億円
4080,2019-10-10,886,915,09:14,837,12:40,873,910500株,795百万円,+47,+5.69,872.723円,2560回,284.01億円
4080,2019-10-11,888,895,09:10,840,10:59,855,216000株,187百万円,-18,-2.06,867.07円,745回,278.16億円
4080,2019-10-15,857,865,12:53,831,09:04,860,103400株,88百万円,+5,+0.58,852.441円,339回,279.78億円
4080,2019-10-16,1010,1010,15:00,1010,15:00,1010,190100株,192百万円,+150,+17.44,1010円,1回,328.58億円
4080,2019-10-17,1010,1079,09:01,952,09:25,960,2292400株,2284百万円,-50,-4.95,996.314円,6829回,312.32億円
4080,2019-10-18,1000,1059,13:58,960,09:21,983,1295900株,1303百万円,+23,+2.40,1005.291円,4038回,319.80億円
4080,2019-10-21,985,1022,09:18,980,09:00,1006,389400株,391百万円,+23,+2.34,1003.87円,1232回,327.28億円
4080,2019-10-23,1035,1100,09:03,1017,12:53,1034,1003000株,1056百万円,+28,+2.78,1052.446円,3314回,336.39億円
