1301,水産物貿易・加工・買い付けが主力。外食店向け強み。加工は海外比率大。,",水産,水産資源,マグロ,養殖マグロ,冷凍食品,インスタント食品,内食,和食,養殖,ディフェンシブ,円高メリット,TPP関連,01銘柄,ロシア関連,農林水産,"
1332,水産老舗。家庭用冷凍食品大手。海外で養殖事業、高純度EPA事業も。,",水産,水産資源,冷凍食品,健康・機能性食品,ファインケミカル,養殖,養殖マグロ,マグロ,うなぎ,ハム・ソーセージ,インスタント食品,サプリメント,アンチエイジング,バイオマスプラスチック,ディフェンシブ,円高メリット,TPP関連,ブラジル関連,ロシア関連,アベノミクス関連,軽減税率,農林水産,JPX日経400,"
1333,水産最大手。漁業、養殖や国内流通網に強み。冷凍、加工などブランド統一。,",水産,水産資源,冷凍食品,個人消費関連,健康・機能性食品,サプリメント,水産卸,養殖,マグロ,養殖マグロ,インスタント食品,宅配,和食,内食,野菜ジュース,畜産,ディフェンシブ,円高メリット,TPP関連,介護関連,中国関連,食品,農林水産,JPX日経400,"
1352,中央魚類系。水産物の総合流通企業。冷凍魚が主体で、エビやカニにも強み。,",水産卸,食品卸,倉庫,水産資源,TPP関連,水産,"
1376,野菜・花きなどの種苗を生産販売。農薬も収益柱。園芸用品なども展開。,",種苗,農薬,ガーデニング,農業関連,殺虫・防虫剤,肥料,緑化関連,屋上緑化,砂漠緑化,ヒートアイランド,機能性野菜,アジア関連,アベノミクス関連,TPP関連,農林水産,"
1377,種苗大手。野菜・花種子で収益力首位級。自社開発品多数。海外拡大へ。,",種苗,ガーデニング,農業関連,緑化関連,屋上緑化,機能性野菜,砂漠緑化,農産物輸出,ヒートアイランド,サマーストック,中国関連,アジア関連,インド関連,欧州関連,ブラジル関連,アベノミクス関連,TPP関連,農林水産,"
1379,キノコで首位。ブナシメジ、マイタケ、エリンギなど主体。椎茸に進出。海外にも。,",内食,農業関連,ブナシメジ,エリンギ,植物工場,まいたけ,キノコ,厳冬対策,農林水産,"
1380,無農薬・無投薬の鶏素材や牛乳を製造販売。無農薬野菜など直販宅配。,",鶏肉,鶏卵,宅配,畜産,牛乳,豚コレラ,農林水産,"
1381,鶏肉国内大手。KFCへの供給が主力。飼料から加工まで一貫。外食FCも。,",鶏肉,畜産,外食,フランチャイズチェーン,豚コレラ,農林水産,"
1382,イチゴ苗の開発・販売。大手洋菓子メーカーなどにイチゴ果実を提供。種馬鈴薯も。,",砂漠緑化,農業関連,種苗,農林水産,"
