8886,2019-11-26,2385,2474,15:00,2385,10:26,2474,1000株,2百万円,+46,+1.89,2428.1円,6回,36.62億円
8886,2019-11-27,2479,2490,09:50,2449,12:31,2490,1700株,4百万円,+16,+0.65,2483.882円,9回,36.85億円
8886,2019-11-28,2490,2490,09:00,2485,09:20,2490,700株,2百万円,0,0,2488.429円,5回,36.85億円
8886,2019-11-29,2440,2459,14:55,2440,09:00,2459,700株,2百万円,-31,-1.24,2444.143円,4回,36.39億円
8886,2019-12-02,2414,2477,15:00,2414,09:48,2477,300株,1百万円,+18,+0.73,2451.667円,3回,36.66億円
8886,2019-12-03,2477,2477,09:05,2419,14:44,2464,400株,1百万円,-13,-0.52,2451円,4回,36.47億円
8886,2019-12-05,2400,2403,12:36,2400,09:53,2402,800株,2百万円,-12,-0.50,2402.375円,5回,35.55億円
8886,2019-12-06,2375,2391,14:56,2375,09:26,2390,400株,1百万円,-12,-0.50,2384.5円,4回,35.37億円
8886,2019-12-09,2350,2429,14:42,2350,09:00,2379,1700株,4百万円,-11,-0.46,2368円,8回,35.21億円
8886,2019-12-10,2479,2479,10:37,2407,14:44,2421,500株,1百万円,+42,+1.77,2445.8円,5回,35.83億円
8886,2019-12-13,2434,2463,11:09,2433,10:07,2435,1000株,2百万円,+6,+0.25,2447円,8回,36.04億円
8886,2019-12-16,2421,2469,12:45,2421,09:00,2469,400株,1百万円,+34,+1.40,2440.25円,3回,36.54億円
8886,2019-12-17,2500,2528,12:30,2500,09:37,2511,1100株,3百万円,+42,+1.70,2503.545円,3回,37.16億円
8886,2019-12-18,2468,2468,14:24,2448,14:26,2448,200株,－百万円,-63,-2.51,2458円,2回,36.23億円
8886,2019-12-19,2453,2520,10:50,2453,09:48,2470,500株,1百万円,+22,+0.90,2485.2円,5回,36.56億円
8886,2019-12-20,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,36.56億円
8886,2019-12-23,2440,2440,10:37,2440,10:37,2440,100株,－百万円,0,0,2440円,1回,36.11億円
8886,2019-12-24,2455,2488,15:00,2455,11:10,2488,300株,1百万円,+48,+1.97,2466円,3回,36.82億円
8886,2019-12-25,2519,2519,09:00,2469,09:12,2470,500株,1百万円,-18,-0.72,2489.2円,4回,36.56億円
8886,2019-12-26,2497,2497,09:00,2471,13:41,2471,200株,－百万円,+1,+0.04,2484円,2回,36.57億円
8886,2019-12-27,2460,2530,14:14,2460,09:00,2530,4600株,11百万円,+59,+2.39,2465.804円,7回,37.44億円
8886,2019-12-30,2549,2600,10:30,2504,13:08,2530,1500株,4百万円,0,0,2543.933円,12回,37.44億円
8886,2020-01-06,2680,2680,09:07,2567,09:30,2570,1200株,3百万円,+40,+1.58,2621.083円,9回,38.04億円
8886,2020-01-07,2663,2663,09:03,2575,15:00,2575,600株,2百万円,+5,+0.19,2611.5円,6回,38.11億円
8886,2020-01-08,2600,2655,10:55,2600,10:05,2640,2200株,6百万円,+65,+2.52,2641.773円,18回,39.07億円
8886,2020-01-09,2593,2660,12:33,2575,11:08,2615,1300株,3百万円,-25,-0.95,2616.615円,12回,38.70億円
8886,2020-01-10,2600,2690,10:19,2600,09:30,2616,2100株,6百万円,+1,+0.04,2642.762円,15回,38.72億円
8886,2020-01-14,2625,2701,09:19,2625,09:00,2628,1500株,4百万円,+12,+0.46,2639.733円,12回,38.89億円
8886,2020-01-15,2635,2638,14:57,2630,10:54,2638,1000株,3百万円,+10,+0.38,2635.7円,8回,39.04億円
8886,2020-01-16,2638,2638,12:50,2622,15:00,2622,200株,1百万円,-16,-0.61,2630円,2回,38.81億円
8886,2020-01-17,2663,2663,09:10,2663,09:10,2663,100株,－百万円,+41,+1.56,2663円,1回,39.41億円
8886,2020-01-20,2651,2660,14:44,2625,14:44,2625,800株,2百万円,-38,-1.43,2650.625円,6回,38.85億円
8886,2020-01-21,2625,2632,10:24,2625,09:15,2632,700株,2百万円,+7,+0.27,2628円,3回,38.95億円
8886,2020-01-22,2645,2645,10:58,2597,15:00,2597,900株,2百万円,-35,-1.33,2615.556円,9回,38.44億円
8886,2020-01-23,2590,2621,14:44,2590,09:03,2593,300株,1百万円,-4,-0.15,2601.333円,3回,38.38億円
8886,2020-01-24,2596,2615,14:44,2594,11:06,2595,600株,2百万円,+2,+0.08,2599.833円,6回,38.41億円
8886,2020-01-27,2597,2597,09:00,2575,11:01,2575,1100株,3百万円,-20,-0.77,2587.455円,9回,38.11億円
8886,2020-01-28,2575,2591,14:44,2575,09:00,2575,300株,1百万円,0,0,2580.333円,3回,38.11億円
8886,2020-01-29,2576,2576,13:35,2576,13:35,2576,100株,－百万円,+1,+0.04,2576円,1回,38.1億円
8886,2020-01-30,2576,2576,12:30,2575,14:44,2575,300株,1百万円,-1,-0.04,2575.667円,3回,38.1億円
8886,2020-01-31,2618,2618,09:53,2618,09:53,2618,100株,－百万円,+43,+1.67,2618円,1回,38.8億円
8886,2020-02-03,2571,2571,09:45,2567,12:37,2570,500株,1百万円,-48,-1.83,2569.6円,4回,38.0億円
8886,2020-02-04,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,38.0億円
8886,2020-02-05,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,38.0億円
8886,2020-02-06,2699,2710,14:34,2689,11:05,2709,2100株,6百万円,0,0,2696.333円,10回,40.1億円
8886,2020-02-07,2670,2680,11:11,2670,10:08,2671,600株,2百万円,-38,-1.40,2673.667円,4回,39.5億円
8886,2020-02-10,2717,2717,09:28,2670,14:44,2670,600株,2百万円,-1,-0.04,2698.667円,6回,39.5億円
8886,2020-02-12,2670,2670,10:38,2670,10:38,2670,200株,1百万円,0,0,2670円,2回,39.5億円
8886,2020-02-13,2634,2634,14:44,2634,14:44,2634,100株,－百万円,-36,-1.35,2634円,1回,39.0億円
8886,2020-02-14,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,39.0億円
8886,2020-02-17,2591,2591,14:44,2591,14:44,2591,100株,－百万円,0,0,2591円,1回,38.4億円
8886,2020-02-17,2586,2586,09:00,2586,09:00,2586,100株,－百万円,-5,-0.19,2586円,1回,38.3億円
8886,2020-02-18,2565,2587,13:39,2565,09:00,2580,700株,2百万円,-6,-0.23,2570.286円,3回,38.2億円
8886,2020-02-20,2575,2575,14:56,2575,14:56,2575,100株,－百万円,-5,-0.19,2575円,1回,38.1億円
8886,2020-02-21,2560,2575,10:39,2560,09:21,2575,900株,2百万円,0,0,2572.889円,5回,38.1億円
8886,2020-02-25,2560,2575,13:04,2537,09:00,2575,1900株,5百万円,0,0,2566.263円,11回,38.1億円
8886,2020-02-26,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,38.1億円
8886,2020-02-27,2575,2575,09:00,2470,13:57,2470,800株,2百万円,0,0,2560円,5回,36.6億円
8886,2020-02-28,2370,2396,15:00,2367,14:33,2396,1300株,3百万円,-74,-3.00,2386.769円,8回,35.5億円
8886,2020-03-02,2380,2380,10:56,2366,15:00,2366,500株,1百万円,-30,-1.25,2376.6円,5回,35.0億円
8886,2020-03-03,2366,2366,09:00,2366,09:00,2366,700株,2百万円,0,0,2366円,2回,35.0億円
8886,2020-03-04,2330,2330,09:09,2330,09:09,2330,200株,－百万円,-36,-1.52,2330円,2回,34.5億円
8886,2020-03-05,－,－,－,－,－,－,－株,－百万円,0,0,－円,0回,34.5億円
8886,2020-03-06,2285,2352,11:30,2285,09:00,2352,200株,－百万円,0,0,2318.5円,2回,34.8億円
8886,2020-03-06,2230,2240,09:51,2120,12:30,2120,1100株,2百万円,-232,-9.86,2190.818円,9回,31.4億円
8886,2020-03-10,1930,2217,13:39,1874,09:40,2217,1300株,3百万円,+97,+4.58,1987.692円,7回,32.8億円
8886,2020-03-11,1968,1977,12:42,1850,14:24,1867,10300株,20百万円,-350,-15.79,1925.291円,43回,27.6億円
8886,2020-03-12,1747,1751,09:20,1710,12:34,1731,3200株,6百万円,-136,-7.28,1729.094円,22回,25.6億円
8886,2020-03-13,1571,1660,13:52,1571,09:09,1631,3500株,6百万円,-100,-5.78,1606.086円,20回,24.1億円
8886,2020-03-16,1791,1791,09:10,1759,10:53,1759,400株,1百万円,+128,+7.85,1783円,2回,26.0億円
8886,2020-03-17,1741,1741,09:00,1623,12:30,1658,1600株,3百万円,-101,-5.74,1685.312円,8回,24.5億円
8886,2020-03-18,1658,1658,12:30,1658,12:30,1658,200株,－百万円,0,0,1658円,1回,24.5億円
8886,2020-03-19,1602,1605,11:26,1600,14:03,1600,900株,1百万円,-58,-3.50,1602.111円,8回,23.7億円
8886,2020-03-23,1657,1657,09:03,1556,14:29,1556,1000株,2百万円,-44,-2.75,1586.8円,9回,23.0億円
8886,2020-03-24,1582,1659,14:36,1582,09:15,1659,1800株,3百万円,+103,+6.62,1624円,9回,24.6億円
8886,2020-03-25,1928,1928,09:18,1777,13:17,1810,2200株,4百万円,+151,+9.10,1881円,9回,26.8億円
8886,2020-03-26,1780,1793,15:00,1780,14:57,1793,200株,－百万円,-17,-0.94,1786.5円,2回,26.5億円
8886,2020-03-27,1793,1873,09:34,1750,10:55,1780,1600株,3百万円,-13,-0.73,1796.875円,8回,26.3億円
8886,2020-03-30,1700,1800,13:43,1700,09:03,1800,1600株,3百万円,+20,+1.12,1723.062円,7回,26.6億円
8886,2020-03-31,1870,1870,09:18,1800,14:31,1800,500株,1百万円,0,0,1838.6円,3回,26.6億円
8886,2020-04-01,－,－,－,－,－,－,－株,－百万円,-40,-2.22,0円,0回,26.1億円
8886,2020-04-02,1640,1665,14:48,1640,14:47,1640,1000株,2百万円,0,0,1647円,5回,24.3億円
8886,2020-04-03,1680,1680,09:40,1680,09:40,1680,100株,－百万円,+40,+2.44,1680円,1回,24.9億円
8886,2020-04-06,1709,1710,09:20,1709,09:00,1710,200株,－百万円,+30,+1.79,1709.5円,2回,25.3億円
8886,2020-04-07,1830,1843,11:14,1830,11:01,1843,200株,－百万円,+133,+7.78,1836.5円,2回,27.3億円
8886,2020-04-08,1827,1828,14:01,1827,14:00,1828,200株,－百万円,-15,-0.81,1827.5円,2回,27.1億円
8886,2020-04-09,1890,1900,12:51,1847,09:28,1890,1200株,2百万円,+62,+3.39,1881.667円,11回,28.0億円
8886,2020-04-10,1900,1950,14:17,1900,13:51,1901,1000株,2百万円,+11,+0.58,1926円,8回,28.1億円
8886,2020-04-13,1949,2023,13:14,1942,11:13,1963,1600株,3百万円,+62,+3.26,1961.187円,15回,29.1億円
8886,2020-04-14,2059,2059,09:51,1980,10:25,2005,1300株,3百万円,+42,+2.14,2019.231円,12回,29.7億円
8886,2020-04-15,1675,1830,13:46,1642,09:28,1733,18000株,31百万円,-272,-13.57,1703.083円,77回,25.7億円
8886,2020-04-16,1653,1666,12:30,1630,09:05,1636,2500株,4百万円,-97,-5.60,1641.96円,21回,24.2億円
8886,2020-04-17,1636,1650,09:13,1605,09:24,1610,1800株,3百万円,-26,-1.59,1618.833円,12回,23.8億円
8886,2020-04-20,1627,1700,13:35,1627,09:00,1698,700株,1百万円,+88,+5.47,1659.714円,6回,25.1億円
8886,2020-04-21,1659,1659,11:13,1626,13:13,1626,1000株,2百万円,-72,-4.24,1648.1円,7回,24.1億円
8886,2020-04-22,1625,1625,10:05,1610,10:09,1610,500株,1百万円,-16,-0.98,1616.6円,5回,23.8億円
8886,2020-04-23,1621,1621,09:00,1600,09:13,1607,1300株,2百万円,-3,-0.19,1608.231円,11回,23.8億円
8886,2020-04-24,1605,1629,11:24,1580,09:30,1613,1300株,2百万円,+6,+0.37,1605.846円,13回,23.9億円
8886,2020-04-27,1627,1627,09:00,1599,10:54,1605,1100株,2百万円,-8,-0.50,1608円,6回,23.8億円
8886,2020-04-28,1611,1696,09:43,1611,09:00,1635,1200株,2百万円,+30,+1.87,1638.833円,11回,24.2億円
8886,2020-04-30,1638,1670,13:32,1638,09:00,1670,600株,1百万円,+35,+2.14,1653.167円,6回,24.7億円
8886,2020-05-01,1660,1674,09:20,1660,09:00,1670,600株,1百万円,0,0,1666.333円,5回,24.7億円
8886,2020-05-07,1670,1750,10:36,1670,09:00,1702,2300株,4百万円,+32,+1.92,1699.348円,10回,25.2億円
8886,2020-05-08,1738,1738,09:00,1699,09:43,1699,400株,1百万円,-3,-0.18,1718.5円,3回,25.2億円
