3467,2019-08-30,407,407,09:00,404,09:58,405,8400株,3百万円,-2,-0.49,405.381円,27回
3467,2019-09-02,406,416,11:14,406,09:00,412,13100株,5百万円,+7,+1.73,411.824円,25回
3467,2019-09-03,416,416,09:00,412,14:58,412,3400株,1百万円,0,0,414.029円,16回
3467,2019-09-03,416,416,09:00,413,15:00,413,3300株,1百万円,+1,+0.24,414.485円,19回
3467,2019-09-05,414,419,11:30,414,09:00,417,4900株,2百万円,+4,+0.97,416.796円,24回
3467,2019-09-05,419,421,10:35,418,14:24,421,5800株,2百万円,+4,+0.96,419.897円,25回
3467,2019-09-07,422,428,15:00,422,09:00,428,5900株,3百万円,+7,+1.66,425.644円,33回
3467,2019-09-10,431,431,09:00,426,10:37,429,8300株,4百万円,+1,+0.23,428.879円,32回
3467,2019-09-11,431,438,12:38,427,09:43,428,21900株,9百万円,-1,-0.23,431.155円,62回
3467,2019-09-12,430,433,09:29,427,12:30,433,17300株,7百万円,+5,+1.17,429.861円,50回
3467,2019-09-13,439,439,09:00,433,11:04,436,23900株,10百万円,+3,+0.69,437.502円,34回
3467,2019-09-17,439,442,14:59,439,09:00,440,11200株,5百万円,+4,+0.92,439.946円,52回
3467,2019-09-17,439,442,12:36,437,09:43,439,8400株,4百万円,-1,-0.23,438.738円,34回,25.03億円
3467,2019-09-19,438,444,14:47,438,09:00,443,7100株,3百万円,+4,+0.91,441.268円,24回,25.26億円
3467,2019-09-20,444,444,09:00,442,09:34,442,5700株,3百万円,-1,-0.23,442.667円,20回,25.20億円
3467,2019-09-24,443,443,09:00,439,09:19,443,8600株,4百万円,+1,+0.23,441.744円,29回,25.26億円
3467,2019-09-25,443,444,09:29,439,10:18,440,8300株,4百万円,-3,-0.68,441.036円,26回,25.09億円
3467,2019-09-26,442,443,10:40,439,12:56,440,8600株,4百万円,0,0,440.384円,27回,25.09億円
3467,2019-09-27,440,443,12:30,439,09:23,440,6900株,3百万円,0,0,440.261円,24回,25.09億円
3467,2019-09-30,444,444,09:00,440,12:41,443,7100株,3百万円,+3,+0.68,442.084円,28回,25.26億円
3467,2019-10-01,443,443,09:00,440,10:37,442,2700株,1百万円,-1,-0.23,441.926円,12回,25.20億円
3467,2019-10-02,441,443,12:30,439,09:37,440,5500株,2百万円,-2,-0.45,440.546円,34回,25.09億円
3467,2019-10-03,439,439,09:00,435,09:20,438,6300株,3百万円,-2,-0.45,437.508円,23回,24.97億円
3467,2019-10-04,441,443,09:00,439,09:26,441,5200株,2百万円,+3,+0.68,440.692円,24回,25.14億円
3467,2019-10-07,442,442,09:00,439,13:59,441,5300株,2百万円,0,0,440.755円,16回,25.14億円
3467,2019-10-08,441,441,09:00,440,09:25,440,4300株,2百万円,-1,-0.23,440.442円,20回,25.09億円
3467,2019-10-09,439,441,12:48,439,09:00,441,6300株,3百万円,+1,+0.23,440.222円,18回,25.14億円
3467,2019-10-10,441,441,09:00,440,09:13,441,1800株,1百万円,0,0,440.722円,11回,25.14億円
3467,2019-10-11,441,441,09:00,440,09:18,441,2900株,1百万円,0,0,440.862円,10回,25.14億円
3467,2019-10-15,442,444,12:31,442,09:00,444,5600株,2百万円,+3,+0.68,443.107円,24回,25.31億円
3467,2019-10-16,443,449,12:48,443,09:00,449,5500株,2百万円,+5,+1.13,446.982円,23回,25.60億円
3467,2019-10-17,450,453,14:41,450,09:00,451,5300株,2百万円,+2,+0.45,451.038円,27回,25.71億円
3467,2019-10-18,452,521,12:47,452,09:00,468,60800株,29百万円,+17,+3.77,479.352円,237回,26.68億円
3467,2019-10-21,476,478,10:04,464,09:14,467,70500株,33百万円,-1,-0.21,473.83円,81回,26.62億円
3467,2019-10-23,470,476,09:54,470,09:00,471,7900株,4百万円,+4,+0.86,471.835円,28回,26.85億円
3467,2019-10-24,471,471,09:00,467,09:39,470,9200株,4百万円,-1,-0.21,469.913円,43回,26.80億円
3467,2019-10-25,471,471,09:00,465,09:42,468,7200株,3百万円,-2,-0.43,468.556円,30回,26.68億円
3467,2019-10-28,472,478,09:50,472,09:00,475,5800株,3百万円,+7,+1.50,475.086円,30回,27.08億円
3467,2019-10-29,479,479,09:00,477,11:17,477,6800株,3百万円,+2,+0.42,477.897円,25回,27.19億円
3467,2019-10-30,477,556,14:08,477,09:00,511,99700株,53百万円,+34,+7.13,527.931円,541回,29.13億円
3467,2019-10-31,511,512,09:14,501,11:22,505,29200株,15百万円,-6,-1.17,505.935円,125回,28.79億円
3467,2019-11-01,504,507,09:05,490,09:49,505,19500株,10百万円,0,0,501.908円,82回,28.79億円
3467,2019-11-05,510,511,09:59,507,09:07,507,22500株,11百万円,+2,+0.40,509.618円,75回,28.91億円
3467,2019-11-07,510,512,13:31,507,10:01,507,14600株,7百万円,-3,-0.59,509.164円,40回,28.91億円
3467,2019-11-08,507,509,09:27,499,13:57,502,17600株,9百万円,-5,-0.99,503.653円,47回,28.62億円
3467,2019-11-11,502,506,14:55,502,09:00,504,10200株,5百万円,+2,+0.40,504.186円,38回,28.73億円
3467,2019-11-12,504,505,09:01,504,09:00,504,3700株,2百万円,0,0,504.487円,18回,28.73億円
3467,2019-11-13,503,504,09:10,503,09:00,504,2400株,1百万円,0,0,503.458円,12回,28.73億円
3467,2019-11-14,505,505,09:00,503,12:30,504,7100株,4百万円,0,0,504.437円,28回,28.73億円
3467,2019-11-15,504,505,09:31,503,09:05,504,4800株,2百万円,0,0,504.25円,25回,28.73億円
3467,2019-11-18,505,506,10:04,503,14:49,504,14900株,8百万円,0,0,504.705円,38回,28.73億円
3467,2019-11-19,511,514,12:30,505,15:00,505,31100株,16百万円,+1,+0.20,509.386円,156回,28.79億円
3467,2019-11-20,510,511,10:30,505,14:21,506,7200株,4百万円,+1,+0.20,507.417円,30回,28.85億円
3467,2019-11-21,510,510,09:00,505,13:17,508,3300株,2百万円,+2,+0.40,507.727円,19回,28.96億円
3467,2019-11-22,508,508,09:00,505,13:03,507,5500株,3百万円,-1,-0.20,506.309円,21回,28.91億円
